text,top_keywords,keyword_scores,predicted_label
Solicitei cancelamento da compra Prazo de entrega muito demorado,"da, ##te, ##rado","0.1808, 0.1807, 0.1789",negative
Super rápido a entrega Ficou surpresa com a rapidez,"com, rápido, a","0.4392, 0.2488, 0.2292",positive
paguei frete mas tive que retirar o produto nos correios quero o valor só frete de volta,"o, ##ue, ##te","0.3859, 0.3726, 0.3241",negative
Sei que o atraso da entrega ocorreu em virtude da paralisação,"que, ocorreu, ##ação","0.402, 0.3845, 0.3355",negative
Considero como alegação infundada informando que o produto estava esgotado Na época a quantidade anunciada foi de numero dois apenas dois produtos,"##da, ##tado, ##o","0.2208, 0.1592, 0.133",negative
O único problema é o envio pelos correios pois temos que ir ao centro de distribuição pegar a encomenda A venda e entrega foi feita por empresa parceira,"entrega, e, parceira","0.4504, 0.4284, 0.3871",positive
muito platico,"##tico, pla, muito","0.3329, 0.2839, 0.0616",positive
Produto chegou bem antes do prazo Muito bem embalado Tudo certinho Recomendo,"bem, ##to, Muito","0.0857, 0.0772, 0.0733",positive
recebi antes do prazo,"do, ##i, antes","0.5851, 0.5486, 0.2425",positive
,,,positive
Tudo dentro do esperado a negação ser o correio que trouxe a embalagem parecendo estar atropelado por um trem tive de pessar os tres produtos pra ver se tinha perda pois estava vazando,"do, a, dentro","0.3243, 0.2784, 0.2639",positive
Recomendo Sem sombra de,"de, ##ndo, ##ome","0.2865, 0.2535, 0.248",positive
faltou um produto a compra foi dois e entregaram somente um,"##tou, ##am, um","0.1429, 0.1278, 0.1231",negative
Entrega antes do previsto muito bom,"bom, muito, ##ga","0.2943, 0.2604, 0.2563",positive
Produto chegou dentro do prazo e bem embalado,"##ado, do, dentro","0.3037, 0.2183, 0.1779",positive
Fiquei muito satisfeito com a compra O produto chegou antes do prazo previsto Por se tratar de um material eletrônico ainda irei testar seu funcionamento mas penso que está tudo ok,"##eito, do, previsto","0.2157, 0.0859, 0.0835",positive
Excelente produto,"##ente, produto, Excel","0.3821, 0.2627, 0.025",positive
Chega super rápido produtos ótimos,"##ga, super, produtos","2.3714, 1.2937, 0.7561",positive
 negação recebi o jogo na cor tabaco Só o vermelho,"##i, receb, o","0.4054, 0.3058, 0.2413",negative
Recebi o sabor errado comprei morango e veio chocolate,"compre, ##i, ##bi","0.5718, 0.4911, 0.4434",negative
Otimo produto para quem cozinha e precisa controlar a temperatura do forno,"produto, para, ##timo","0.2968, 0.1189, 0.1137",positive
CHEGOU MEGA RAPIDO,"##E, ##DO, ##PI","0.3639, 0.3552, 0.3087",positive
Comprei são faz tempo e nada estou indiguinado paguei numero e cadê meu aparelho,"##igu, ##inado, ##ê","0.2023, 0.1487, 0.1089",negative
Olá o produto negação foi entregue em minha residência,"##á, foi, em","0.2803, 0.2136, 0.1974",negative
O produto demorou mais de numero dias para chegar,"mais, para, demorou","0.6162, 0.3603, 0.3279",negative
Ok,Ok,0.0186,positive
